,x,y,z,layer,region,type
228,3661.6563701921464,-1168.9078330147609,-2831.779264092868,L6,S1FL,LineSource
229,3685.7503701921464,-1174.946833014761,-2800.4262640928678,L6,S1FL,LineSource
230,3709.8453701921467,-1180.9848330147609,-2769.074264092868,L6,S1FL,LineSource
231,3733.9403701921465,-1187.0238330147608,-2737.721264092868,L6,S1FL,LineSource
232,3758.0353701921467,-1193.062833014761,-2706.3692640928675,L6,S1FL,LineSource
233,3782.1293701921463,-1199.101833014761,-2675.0172640928677,L5,S1FL,LineSource
234,3806.2243701921466,-1205.140833014761,-2643.6642640928676,L5,S1FL,LineSource
235,3830.3193701921464,-1211.179833014761,-2612.3122640928677,L5,S1FL,LineSource
236,3854.4143701921466,-1217.218833014761,-2580.9592640928677,L5,S1FL,LineSource
237,3878.5083701921467,-1223.257833014761,-2549.607264092868,L5,S1FL,LineSource
238,3902.6033701921465,-1229.296833014761,-2518.255264092868,L5,S1FL,LineSource
239,3926.6983701921463,-1235.335833014761,-2486.902264092868,L5,S1FL,LineSource
240,3950.7933701921465,-1241.374833014761,-2455.5502640928676,L5,S1FL,LineSource
241,3974.8873701921466,-1247.413833014761,-2424.1982640928677,L5,S1FL,LineSource
242,3998.9823701921464,-1253.452833014761,-2392.8452640928676,L5,S1FL,LineSource
243,4023.0773701921466,-1259.491833014761,-2361.493264092868,L5,S1FL,LineSource
244,4047.1723701921464,-1265.529833014761,-2330.1402640928677,L5,S1FL,LineSource
245,4071.2663701921465,-1271.568833014761,-2298.788264092868,L5,S1FL,LineSource
246,4095.3613701921463,-1277.607833014761,-2267.4362640928675,L4,S1FL,LineSource
247,4119.456370192146,-1283.646833014761,-2236.083264092868,L4,S1FL,LineSource
248,4143.551370192146,-1289.6858330147609,-2204.7312640928676,L4,S1FL,LineSource
249,4167.645370192146,-1295.7248330147609,-2173.3782640928675,L4,S1FL,LineSource
250,4191.740370192147,-1301.7638330147608,-2142.0262640928677,L3,S1FL,LineSource
251,4215.835370192147,-1307.8028330147608,-2110.674264092868,L3,S1FL,LineSource
252,4239.930370192146,-1313.841833014761,-2079.3212640928678,L3,S1FL,LineSource
253,4264.024370192146,-1319.880833014761,-2047.969264092868,L3,S1FL,LineSource
254,4288.120370192147,-1325.919833014761,-2016.6162640928678,L3,S1FL,LineSource
255,4312.215370192146,-1331.958833014761,-1985.2642640928677,L3,S1FL,LineSource
256,4336.310370192146,-1337.997833014761,-1953.9122640928676,L3,S1FL,LineSource
257,4360.404370192146,-1344.036833014761,-1922.5592640928678,L3,S1FL,LineSource
258,4384.499370192147,-1350.075833014761,-1891.2072640928677,L3,S1FL,LineSource
259,4408.594370192146,-1356.114833014761,-1859.8542640928677,L2,S1FL,LineSource
260,4432.689370192146,-1362.152833014761,-1828.5022640928678,L2,S1FL,LineSource
261,4456.783370192146,-1368.191833014761,-1797.1502640928677,L2,S1FL,LineSource
262,4480.878370192147,-1374.230833014761,-1765.7972640928679,L1,S1FL,LineSource
263,4504.973370192147,-1380.269833014761,-1734.4452640928678,L1,S1FL,LineSource
264,4529.068370192146,-1386.308833014761,-1703.0922640928677,L1,S1FL,LineSource
265,4553.162370192146,-1392.347833014761,-1671.7402640928676,L1,S1FL,LineSource
266,4577.2573701921465,-1398.386833014761,-1640.3882640928678,Outside,Outside,LineSource
267,4601.352370192147,-1404.4258330147609,-1609.0352640928677,Outside,Outside,LineSource
268,4625.447370192147,-1410.4648330147609,-1577.6832640928678,Outside,Outside,LineSource
269,4649.541370192146,-1416.5038330147609,-1546.3302640928678,Outside,Outside,LineSource
270,4673.636370192146,-1422.542833014761,-1514.978264092868,Outside,Outside,LineSource
271,4697.731370192147,-1428.5818330147608,-1483.6262640928678,Outside,Outside,LineSource
272,4721.826370192146,-1434.620833014761,-1452.2732640928677,Outside,Outside,LineSource
273,4745.920370192147,-1440.659833014761,-1420.9212640928677,Outside,Outside,LineSource
274,4770.015370192146,-1446.697833014761,-1389.5682640928678,Outside,Outside,LineSource
275,4794.110370192147,-1452.736833014761,-1358.2162640928677,Outside,Outside,LineSource
276,4818.205370192147,-1458.775833014761,-1326.8642640928679,Outside,Outside,LineSource
277,4842.299370192147,-1464.814833014761,-1295.5112640928678,Outside,Outside,LineSource
278,4866.394370192146,-1470.853833014761,-1264.1592640928677,Outside,Outside,LineSource
279,4890.489370192146,-1476.892833014761,-1232.8072640928679,Outside,Outside,LineSource
280,4914.584370192147,-1482.931833014761,-1201.4542640928678,Outside,Outside,LineSource
281,4938.678370192147,-1488.970833014761,-1170.1022640928677,Outside,Outside,LineSource
282,4962.773370192146,-1495.009833014761,-1138.7492640928679,Outside,Outside,LineSource
283,4986.869370192147,-1501.048833014761,-1107.3972640928678,Outside,Outside,LineSource
284,5010.964370192147,-1507.087833014761,-1076.0452640928677,Outside,Outside,LineSource
285,5035.058370192146,-1513.126833014761,-1044.6922640928678,Outside,Outside,LineSource
286,5059.153370192146,-1519.165833014761,-1013.3402640928678,Outside,Outside,LineSource
287,5083.2483701921465,-1525.2048330147609,-981.9872640928677,Outside,Outside,LineSource
288,2810.1803701921463,-939.004833014761,-3944.7892640928676,Outside,Outside,LineSource
289,2834.2753701921465,-945.0438330147609,-3913.4362640928675,Outside,Outside,LineSource
290,2858.3693701921466,-951.082833014761,-3882.0842640928677,Outside,Outside,LineSource
291,2882.464370192147,-957.121833014761,-3850.7312640928676,Outside,Outside,LineSource
292,2906.559370192146,-963.160833014761,-3819.3792640928677,Outside,Outside,LineSource
293,2930.6553701921466,-969.199833014761,-3788.027264092868,Outside,Outside,LineSource
294,2954.7493701921467,-975.238833014761,-3756.674264092868,Outside,Outside,LineSource
295,2978.8443701921465,-981.277833014761,-3725.322264092868,Outside,Outside,LineSource
296,3002.9393701921463,-987.316833014761,-3693.969264092868,Outside,Outside,LineSource
297,3027.0343701921465,-993.355833014761,-3662.617264092868,Outside,Outside,LineSource
298,3051.1283701921466,-999.3948330147609,-3631.2652640928677,Outside,Outside,LineSource
299,3075.2233701921464,-1005.4338330147609,-3599.9122640928676,Outside,Outside,LineSource
300,3099.3183701921466,-1011.4728330147609,-3568.560264092868,Outside,Outside,LineSource
301,3123.4133701921464,-1017.5118330147609,-3537.2082640928675,Outside,Outside,LineSource
302,3147.5073701921465,-1023.5508330147609,-3505.855264092868,Outside,Outside,LineSource
303,3171.6023701921467,-1029.588833014761,-3474.5032640928675,Outside,Outside,LineSource
304,3195.6973701921465,-1035.6278330147609,-3443.1502640928675,Outside,Outside,LineSource
305,3219.7923701921463,-1041.6668330147609,-3411.7982640928676,Outside,Outside,LineSource
306,3243.8863701921464,-1047.7058330147609,-3380.4462640928678,Outside,Outside,LineSource
307,3267.9813701921466,-1053.7448330147608,-3349.0932640928677,Outside,Outside,LineSource
308,3292.0763701921464,-1059.783833014761,-3317.741264092868,Outside,Outside,LineSource
309,3316.1713701921462,-1065.822833014761,-3286.3882640928678,Outside,Outside,LineSource
310,3340.2653701921463,-1071.861833014761,-3255.036264092868,Outside,Outside,LineSource
311,3364.3603701921465,-1077.900833014761,-3223.684264092868,L6,S1FL,LineSource
312,3388.4553701921463,-1083.939833014761,-3192.331264092868,L6,S1FL,LineSource
